Type,School Year,County,District,School,Agency Name,ELL Percentage,DataAsOf
SC,20112012,01,0090,003,ADAMS COUNTY 15,-1.0000,05/21/2013
SC,20122013,01,0090,003,ADAMS COUNTY 15,-1.0000,06/21/2013
SC,20132014,01,0090,003,EAST ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,01,0090,003,EAST ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,01,0090,003,EAST ELEMENTARY SCHOOL,-1.0000,11/16/2016
SC,20112012,01,0090,004,TRI-VIEW SCHOOL,-1.0000,05/21/2013
SC,20112012,01,0090,005,AYR SCHOOL,-1.0000,05/21/2013
SC,20112012,01,0090,006,WALLACE SCHOOL,-1.0000,05/21/2013
SC,20122013,01,0090,006,WALLACE SCHOOL,-1.0000,06/21/2013
SC,20132014,01,0090,006,WALLACE ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,01,0090,006,WALLACE ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,01,0090,006,WALLACE ELEMENTARY SCHOOL,-1.0000,11/16/2016
DI,20112012,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,-1.0000,05/21/2013
DI,20122013,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,-1.0000,06/21/2013
DI,20132014,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,-1.0000,07/07/2014
DI,20142015,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,-1.0000,06/23/2015
DI,20152016,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,-1.0000,11/16/2016
SC,20112012,01,0123,001,SILVER LAKE HIGH SCHOOL,-1.0000,05/21/2013
SC,20122013,01,0123,001,SILVER LAKE HIGH SCHOOL,-1.0000,06/21/2013
SC,20132014,01,0123,001,SILVER LAKE HIGH SCHOOL,-1.0000,07/07/2014
SC,20142015,01,0123,001,SILVER LAKE HIGH SCHOOL,-1.0000,06/23/2015
SC,20152016,01,0123,001,SILVER LAKE HIGH SCHOOL,-1.0000,11/16/2016
SC,20112012,01,0123,002,SILVER LAKE ELEM SCH-BLADEN,-1.0000,05/21/2013
SC,20122013,01,0123,002,SILVER LAKE ELEM SCH-BLADEN,-1.0000,06/21/2013
SC,20132014,01,0123,002,SILVER LAKE ELEM SCH-BLADEN,-1.0000,07/07/2014
SC,20142015,01,0123,002,SILVER LAKE ELEM SCH-BLADEN,-1.0000,06/23/2015
SC,20152016,01,0123,002,SILVER LAKE ELEM SCH-BLADEN,-1.0000,11/16/2016
DI,20112012,02,0009,000,NELIGH-OAKDALE SCHOOLS,-1.0000,05/21/2013
DI,20122013,02,0009,000,NELIGH-OAKDALE SCHOOLS,-1.0000,06/21/2013
DI,20132014,02,0009,000,NELIGH-OAKDALE SCHOOLS,-1.0000,07/07/2014
DI,20142015,02,0009,000,NELIGH-OAKDALE SCHOOLS,-1.0000,06/23/2015
DI,20152016,02,0009,000,NELIGH-OAKDALE SCHOOLS,-1.0000,11/16/2016
SC,20112012,02,0009,001,NELIGH-OAKDALE JR/SR HIGH SCH,-1.0000,05/21/2013
SC,20122013,02,0009,001,NELIGH-OAKDALE JR/SR HIGH SCH,-1.0000,06/21/2013
SC,20132014,02,0009,001,NELIGH-OAKDALE JR/SR HIGH SCH,-1.0000,07/07/2014
SC,20142015,02,0009,001,NELIGH-OAKDALE JR/SR HIGH SCH,-1.0000,06/23/2015
SC,20152016,02,0009,001,NELIGH-OAKDALE JR/SR HIGH SCH,-1.0000,11/16/2016
SC,20112012,02,0009,002,ELEM SCHOOL AT NELIGH-OAKDALE,-1.0000,05/21/2013
SC,20122013,02,0009,002,ELEM SCHOOL AT NELIGH-OAKDALE,-1.0000,06/21/2013
SC,20132014,02,0009,002,ELEM SCHOOL AT NELIGH-OAKDALE,-1.0000,07/07/2014
SC,20142015,02,0009,002,ELEM SCHOOL AT NELIGH-OAKDALE,-1.0000,06/23/2015
SC,20152016,02,0009,002,ELEM SCHOOL AT NELIGH-OAKDALE,-1.0000,11/16/2016
DI,20112012,02,0018,000,ELGIN PUBLIC SCHOOLS,-1.0000,05/21/2013
DI,20122013,02,0018,000,ELGIN PUBLIC SCHOOLS,-1.0000,06/21/2013
DI,20132014,02,0018,000,ELGIN PUBLIC SCHOOLS,-1.0000,07/07/2014
DI,20142015,02,0018,000,ELGIN PUBLIC SCHOOLS,-1.0000,06/23/2015
DI,20152016,02,0018,000,ELGIN PUBLIC SCHOOLS,-1.0000,11/16/2016
SC,20112012,02,0018,001,ELGIN HIGH SCHOOL,-1.0000,05/21/2013
SC,20122013,02,0018,001,ELGIN HIGH SCHOOL,-1.0000,06/21/2013
SC,20132014,02,0018,001,ELGIN HIGH SCHOOL,-1.0000,07/07/2014
SC,20142015,02,0018,001,ELGIN HIGH SCHOOL,-1.0000,06/23/2015
SC,20152016,02,0018,001,ELGIN HIGH SCHOOL,-1.0000,11/16/2016
SC,20112012,02,0018,002,ELGIN ELEMENTARY SCHOOL,-1.0000,05/21/2013
SC,20122013,02,0018,002,ELGIN ELEMENTARY SCHOOL,-1.0000,06/21/2013
SC,20132014,02,0018,002,ELGIN ELEMENTARY SCHOOL,-1.0000,07/07/2014
SC,20142015,02,0018,002,ELGIN ELEMENTARY SCHOOL,-1.0000,06/23/2015
SC,20152016,02,0018,002,ELGIN ELEMENTARY SCHOOL,-1.0000,11/16/2016
DI,20112012,02,2001,000,NEBRASKA UNIFIED DISTRICT 1,0.0497,05/21/2013
