Type,School Year,County,District,School,Agency Name,Average Teacher Salary,Average Years of Teaching Experience,Masters Count,Percentage of Teachers with Master’s Degrees,Teacher FTE,AM_5,AS_5,BL_5,HI_5,WH_5,AM_7,AS_7,BL_7,HI_7,PI_7,WH_7,MU_7,DataAsOf 
DI,20152016,35,0001,000,GARDEN COUNTY SCHOOLS,61053,11.08,7,0.2692,23.79,,,,,,0.00,0.00,0.00,0.00,0.00,23.79,0.00,11/16/2016
SC,20112012,35,0001,001,GARDEN COUNTY HIGH SCHOOL,42508,8.43,6,0.4286,9.75,,,,,,0.00,0.00,0.00,0.00,0.00,9.75,0.00,11/26/2012
SC,20122013,35,0001,001,GARDEN COUNTY HIGH SCHOOL,57998,10.62,4,0.3077,9.26,,,,,,0.00,0.00,0.00,0.50,0.00,8.76,0.00,07/05/2013
SC,20132014,35,0001,001,GARDEN COUNTY HIGH SCHOOL,60383,11.08,5,0.3846,8.48,,,,,,0.00,0.00,0.00,0.50,0.00,7.98,0.00,07/07/2014
SC,20142015,35,0001,001,GARDEN COUNTY JUNIOR/SENIOR HIGH SCHOOL,60156,10.25,5,0.3125,11.35,,,,,,0.00,0.00,0.00,0.86,0.00,10.49,0.00,08/19/2015
SC,20152016,35,0001,001,GARDEN COUNTY JUNIOR/SENIOR HIGH SCHOOL,59544,9.94,5,0.2941,12.49,,,,,,0.00,0.00,0.00,0.00,0.00,12.49,0.00,11/16/2016
SC,20112012,35,0001,002,GARDEN COUNTY ELEMENTARY SCH,45095,15.00,2,0.1667,9.59,,,,,,0.00,0.00,0.00,0.00,0.00,9.59,0.00,11/26/2012
SC,20122013,35,0001,002,GARDEN COUNTY ELEMENTARY SCH,53926,9.38,2,0.1538,8.98,,,,,,0.00,0.00,0.00,0.00,0.00,8.98,0.00,07/05/2013
SC,20132014,35,0001,002,GARDEN COUNTY ELEMENTARY SCH,58748,12.00,2,0.1538,9.23,,,,,,0.00,0.00,0.00,0.00,0.00,9.23,0.00,07/07/2014
SC,20142015,35,0001,002,GARDEN COUNTY ELEMENTARY SCH,61687,12.19,3,0.1875,11.80,,,,,,0.00,0.00,0.00,0.00,0.00,11.80,0.00,08/19/2015
SC,20152016,35,0001,002,GARDEN COUNTY ELEMENTARY SCH,63240,13.53,3,0.2000,11.30,,,,,,0.00,0.00,0.00,0.00,0.00,11.30,0.00,11/16/2016
SC,20112012,35,0001,003,GARDEN COUNTY JR HIGH SCHOOL,51784,15.33,2,0.3333,4.28,,,,,,0.00,0.00,0.00,0.00,0.00,4.28,0.00,11/26/2012
SC,20122013,35,0001,003,GARDEN COUNTY JR HIGH SCHOOL,59515,11.56,3,0.3333,5.08,,,,,,0.00,0.00,0.00,0.50,0.00,4.58,0.00,07/05/2013
SC,20132014,35,0001,003,GARDEN COUNTY JR HIGH SCHOOL,62239,10.73,4,0.3636,5.18,,,,,,0.00,0.00,0.00,0.50,0.00,4.68,0.00,07/07/2014
DI,20112012,36,0100,000,BURWELL PUBLIC SCHOOLS,46528,21.11,15,0.4167,33.13,,,,,,0.00,0.00,0.00,0.00,0.00,33.13,0.00,11/26/2012
DI,20122013,36,0100,000,BURWELL PUBLIC SCHOOLS,45384,20.18,15,0.4545,31.55,,,,,,0.00,0.00,0.00,0.00,0.00,31.55,0.00,07/05/2013
DI,20132014,36,0100,000,BURWELL PUBLIC SCHOOLS,47201,21.18,16,0.4848,31.55,,,,,,0.00,0.00,0.00,0.00,0.00,31.55,0.00,07/07/2014
DI,20142015,36,0100,000,BURWELL PUBLIC SCHOOLS,47782,21.56,19,0.5588,32.75,,,,,,0.00,0.00,0.00,0.00,0.00,32.75,0.00,08/19/2015
DI,20152016,36,0100,000,BURWELL PUBLIC SCHOOLS,50822,22.00,20,0.5882,31.94,,,,,,0.00,0.00,0.00,0.00,0.00,31.94,0.00,11/16/2016
SC,20112012,36,0100,001,BURWELL JR-SR HIGH SCHOOL,47141,21.17,8,0.3478,19.96,,,,,,0.00,0.00,0.00,0.00,0.00,19.96,0.00,11/26/2012
SC,20122013,36,0100,001,BURWELL JR-SR HIGH SCHOOL,45454,18.85,6,0.3000,18.58,,,,,,0.00,0.00,0.00,0.00,0.00,18.58,0.00,07/05/2013
SC,20132014,36,0100,001,BURWELL JR-SR HIGH SCHOOL,47044,19.85,7,0.3500,18.25,,,,,,0.00,0.00,0.00,0.00,0.00,18.25,0.00,07/07/2014
SC,20142015,36,0100,001,BURWELL JR-SR HIGH SCHOOL,48804,20.85,10,0.5000,18.25,,,,,,0.00,0.00,0.00,0.00,0.00,18.25,0.00,08/19/2015
SC,20152016,36,0100,001,BURWELL JR-SR HIGH SCHOOL,51016,20.00,11,0.5238,18.44,,,,,,0.00,0.00,0.00,0.00,0.00,18.44,0.00,11/16/2016
SC,20112012,36,0100,003,BURWELL ELEMENTARY SCHOOL,45358,20.36,6,0.4286,12.17,,,,,,0.00,0.00,0.00,0.00,0.00,12.17,0.00,11/26/2012
SC,20122013,36,0100,003,BURWELL ELEMENTARY SCHOOL,43268,21.50,8,0.5714,11.97,,,,,,0.00,0.00,0.00,0.00,0.00,11.97,0.00,07/05/2013
SC,20132014,36,0100,003,BURWELL ELEMENTARY SCHOOL,45207,22.50,8,0.5714,12.30,,,,,,0.00,0.00,0.00,0.00,0.00,12.30,0.00,07/07/2014
SC,20142015,36,0100,003,BURWELL ELEMENTARY SCHOOL,44377,22.00,9,0.6000,13.50,,,,,,0.00,0.00,0.00,0.00,0.00,13.50,0.00,08/19/2015
SC,20152016,36,0100,003,BURWELL ELEMENTARY SCHOOL,50832,24.80,10,0.6667,13.50,,,,,,0.00,0.00,0.00,0.00,0.00,13.50,0.00,11/16/2016
SC,20112012,36,0100,004,DISTRICT 70 ELEMENTARY SCHOOL,47093,25.00,1,1.0000,1.00,,,,,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,11/26/2012
SC,20122013,36,0100,004,DISTRICT 70 ELEMENTARY SCHOOL,49500,26.00,1,1.0000,1.00,,,,,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,07/05/2013
SC,20132014,36,0100,004,DISTRICT 70 ELEMENTARY SCHOOL,51968,27.00,1,1.0000,1.00,,,,,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,07/07/2014
SC,20142015,36,0100,004,DISTRICT 70 ELEMENTARY SCHOOL,54755,28.00,1,1.0000,1.00,,,,,,0.00,0.00,0.00,0.00,0.00,1.00,0.00,08/19/2015
DI,20112012,37,0030,000,ELWOOD PUBLIC SCHOOLS,43887,20.52,7,0.3043,22.88,,,,,,0.00,0.00,0.00,0.00,0.00,22.88,0.00,11/26/2012
DI,20122013,37,0030,000,ELWOOD PUBLIC SCHOOLS,44713,19.83,7,0.3043,23.00,,,,,,0.00,0.00,0.00,0.00,0.00,23.00,0.00,07/05/2013
DI,20132014,37,0030,000,ELWOOD PUBLIC SCHOOLS,46360,20.87,7,0.3043,22.88,,,,,,0.00,0.00,0.00,0.00,0.00,22.88,0.00,07/07/2014
DI,20142015,37,0030,000,ELWOOD PUBLIC SCHOOLS,48238,21.87,8,0.3478,22.88,,,,,,0.00,0.00,0.00,0.00,0.00,22.88,0.00,08/19/2015
DI,20152016,37,0030,000,ELWOOD PUBLIC SCHOOLS,50045,21.57,8,0.3478,22.88,,,,,,0.00,0.00,0.00,0.00,0.00,22.88,0.00,11/16/2016
SC,20112012,37,0030,001,ELWOOD HIGH SCHOOL,43755,19.29,6,0.4286,12.55,,,,,,0.00,0.00,0.00,0.00,0.00,12.55,0.00,11/26/2012
SC,20122013,37,0030,001,ELWOOD HIGH SCHOOL,45857,20.29,6,0.4286,12.67,,,,,,0.00,0.00,0.00,0.00,0.00,12.67,0.00,07/05/2013
SC,20132014,37,0030,001,ELWOOD HIGH SCHOOL,47298,21.29,6,0.4286,12.55,,,,,,0.00,0.00,0.00,0.00,0.00,12.55,0.00,07/07/2014
SC,20142015,37,0030,001,ELWOOD HIGH SCHOOL,49038,22.29,7,0.5000,12.55,,,,,,0.00,0.00,0.00,0.00,0.00,12.55,0.00,08/19/2015
SC,20152016,37,0030,001,ELWOOD HIGH SCHOOL,51401,23.29,7,0.5000,12.43,,,,,,0.00,0.00,0.00,0.00,0.00,12.43,0.00,11/16/2016
SC,20112012,37,0030,002,ELWOOD ELEMENTARY SCHOOL,43441,21.77,1,0.0769,10.33,,,,,,0.00,0.00,0.00,0.00,0.00,10.33,0.00,11/26/2012
SC,20122013,37,0030,002,ELWOOD ELEMENTARY SCHOOL,43200,19.77,1,0.0769,10.33,,,,,,0.00,0.00,0.00,0.00,0.00,10.33,0.00,07/05/2013
SC,20132014,37,0030,002,ELWOOD ELEMENTARY SCHOOL,44952,20.85,1,0.0769,10.33,,,,,,0.00,0.00,0.00,0.00,0.00,10.33,0.00,07/07/2014
SC,20142015,37,0030,002,ELWOOD ELEMENTARY SCHOOL,46923,21.85,1,0.0769,10.33,,,,,,0.00,0.00,0.00,0.00,0.00,10.33,0.00,08/19/2015
SC,20152016,37,0030,002,ELWOOD ELEMENTARY SCHOOL,48394,21.71,1,0.0714,10.45,,,,,,0.00,0.00,0.00,0.00,0.00,10.45,0.00,11/16/2016
DI,20112012,38,0011,000,HYANNIS AREA SCHOOLS,41884,17.47,4,0.2105,16.37,,,,,,0.00,0.00,0.00,0.00,0.00,16.37,0.00,11/26/2012
DI,20122013,38,0011,000,HYANNIS AREA SCHOOLS,43697,18.11,4,0.2105,16.49,,,,,,0.00,0.00,0.00,0.00,0.00,16.49,0.00,07/05/2013
DI,20132014,38,0011,000,HYANNIS AREA SCHOOLS,45625,18.55,5,0.2500,16.99,,,,,,0.00,0.00,0.00,0.00,0.00,16.99,0.00,07/07/2014
DI,20142015,38,0011,000,HYANNIS AREA SCHOOLS,47269,19.00,6,0.3158,16.62,,,,,,0.00,0.00,0.00,0.00,0.00,16.62,0.00,08/19/2015
DI,20152016,38,0011,000,HYANNIS AREA SCHOOLS,47103,17.79,7,0.3684,16.62,,,,,,0.00,0.00,0.00,0.00,0.00,16.62,0.00,11/16/2016
SC,20112012,38,0011,001,HYANNIS HIGH SCHOOL,44333,20.00,4,0.3333,8.25,,,,,,0.00,0.00,0.00,0.00,0.00,8.25,0.00,11/26/2012
SC,20122013,38,0011,001,HYANNIS HIGH SCHOOL,45808,20.42,4,0.3333,8.37,,,,,,0.00,0.00,0.00,0.00,0.00,8.37,0.00,07/05/2013
SC,20132014,38,0011,001,HYANNIS HIGH SCHOOL,47600,21.42,4,0.3333,8.37,,,,,,0.00,0.00,0.00,0.00,0.00,8.37,0.00,07/07/2014
SC,20142015,38,0011,001,HYANNIS HIGH SCHOOL,49269,22.18,4,0.3636,8.00,,,,,,0.00,0.00,0.00,0.00,0.00,8.00,0.00,08/19/2015
SC,20152016,38,0011,001,HYANNIS HIGH SCHOOL,49420,21.00,5,0.4545,8.00,,,,,,0.00,0.00,0.00,0.00,0.00,8.00,0.00,11/16/2016
SC,20112012,38,0011,003,HYANNIS ELEMENTARY SCHOOL,40356,15.30,1,0.1000,8.12,,,,,,0.00,0.00,0.00,0.00,0.00,8.12,0.00,11/26/2012
SC,20122013,38,0011,003,HYANNIS ELEMENTARY SCHOOL,42588,16.30,1,0.1000,8.12,,,,,,0.00,0.00,0.00,0.00,0.00,8.12,0.00,07/05/2013
SC,20132014,38,0011,003,HYANNIS ELEMENTARY SCHOOL,44727,16.45,2,0.1818,8.62,,,,,,0.00,0.00,0.00,0.00,0.00,8.62,0.00,07/07/2014
SC,20142015,38,0011,003,HYANNIS ELEMENTARY SCHOOL,46248,17.00,3,0.2727,8.62,,,,,,0.00,0.00,0.00,0.00,0.00,8.62,0.00,08/19/2015
SC,20152016,38,0011,003,HYANNIS ELEMENTARY SCHOOL,46239,16.36,3,0.2727,8.62,,,,,,0.00,0.00,0.00,0.00,0.00,8.62,0.00,11/16/2016
DI,20112012,39,0010,000,GREELEY-WOLBACH PUBLIC SCHOOLS,38782,14.50,3,0.1250,20.50,,,,,,0.00,0.00,0.00,0.00,0.00,20.50,0.00,11/26/2012
DI,20122013,39,0010,000,GREELEY-WOLBACH PUBLIC SCHOOLS,40216,15.78,4,0.1739,20.27,,,,,,0.00,0.00,0.00,0.00,0.00,20.27,0.00,07/05/2013
DI,20132014,39,0010,000,GREELEY-WOLBACH PUBLIC SCHOOLS,40457,14.81,5,0.2381,13.83,,,,,,0.00,0.00,0.00,0.00,0.00,13.83,0.00,07/07/2014
SC,20112012,39,0010,001,GREELEY-WOLBACH JR-SR HIGH SCHOOL,39306,16.46,1,0.0769,8.88,,,,,,0.00,0.00,0.00,0.00,0.00,8.88,0.00,11/26/2012
SC,20122013,39,0010,001,GREELEY-WOLBACH JR-SR HIGH SCHOOL,39317,18.15,2,0.1538,9.27,,,,,,0.00,0.00,0.00,0.00,0.00,9.27,0.00,07/05/2013
SC,20132014,39,0010,001,GREELEY-WOLBACH SR HIGH SCHOOL,39762,15.70,3,0.3000,3.23,,,,,,0.00,0.00,0.00,0.00,0.00,3.23,0.00,07/07/2014
SC,20112012,39,0010,003,GREELEY-WOLBACH ELEM/GREELEY,32235,4.00,0,0.0000,0.50,,,,,,0.00,0.00,0.00,0.00,0.00,0.50,0.00,11/26/2012
SC,20122013,39,0010,003,GREELEY-WOLBACH ELEM/GREELEY,35877,5.00,0,0.0000,0.50,,,,,,0.00,0.00,0.00,0.00,0.00,0.50,0.00,07/05/2013
SC,20132014,39,0010,003,GREELEY-WOLBACH ELEM/GREELEY,39065,6.00,0,0.0000,0.50,,,,,,0.00,0.00,0.00,0.00,0.00,0.50,0.00,07/07/2014
SC,20112012,39,0010,004,GREELEY-WOLBACH ELEM/WOLBACH,38305,10.27,3,0.2000,11.12,,,,,,0.00,0.00,0.00,0.00,0.00,11.12,0.00,11/26/2012
SC,20122013,39,0010,004,GREELEY-WOLBACH ELEM/WOLBACH,40130,13.62,3,0.2308,10.50,,,,,,0.00,0.00,0.00,0.00,0.00,10.50,0.00,07/05/2013
SC,20132014,39,0010,004,GREELEY-WOLBACH ELEM/WOLBACH,41656,14.20,2,0.2000,8.40,,,,,,0.00,0.00,0.00,0.00,0.00,8.40,0.00,07/07/2014
SC,20132014,39,0010,005,GREELEY-WOLBACH MIDDLE SCHOOL AT WOLBACH,39544,14.67,3,0.3333,1.70,,,,,,0.00,0.00,0.00,0.00,0.00,1.70,0.00,07/07/2014
DI,20112012,39,0055,000,SPALDING PUBLIC SCHOOLS,34227,11.82,4,0.2353,14.48,,,,,,0.00,0.00,0.00,0.00,0.00,14.48,0.00,11/26/2012
DI,20122013,39,0055,000,SPALDING PUBLIC SCHOOLS,33977,10.39,5,0.2778,14.85,,,,,,0.00,0.00,0.00,0.00,0.00,14.85,0.00,07/05/2013
DI,20132014,39,0055,000,SPALDING PUBLIC SCHOOLS,37947,11.18,5,0.2941,15.03,,,,,,0.00,0.00,0.00,0.00,0.00,15.03,0.00,07/07/2014
SC,20112012,39,0055,001,SPALDING SECONDARY SCHOOL,34408,11.83,3,0.2500,7.93,,,,,,0.00,0.00,0.00,0.00,0.00,7.93,0.00,11/26/2012
SC,20122013,39,0055,001,SPALDING SECONDARY SCHOOL,33599,9.92,4,0.3333,7.21,,,,,,0.00,0.00,0.00,0.00,0.00,7.21,0.00,07/05/2013
SC,20132014,39,0055,001,SPALDING SECONDARY SCHOOL,37657,10.55,4,0.3636,7.39,,,,,,0.00,0.00,0.00,0.00,0.00,7.39,0.00,07/07/2014
SC,20112012,39,0055,002,SPALDING ELEMENTARY SCHOOL,34184,13.50,1,0.1250,6.55,,,,,,0.00,0.00,0.00,0.00,0.00,6.55,0.00,11/26/2012
SC,20122013,39,0055,002,SPALDING ELEMENTARY SCHOOL,33242,9.11,1,0.1111,7.64,,,,,,0.00,0.00,0.00,0.00,0.00,7.64,0.00,07/05/2013
SC,20132014,39,0055,002,SPALDING ELEMENTARY SCHOOL,37098,10.11,1,0.1111,7.64,,,,,,0.00,0.00,0.00,0.00,0.00,7.64,0.00,07/07/2014
DI,20142015,39,0060,000,CENTRAL VALLEY PUBLIC SCHOOLS,44189,15.34,9,0.2571,32.51,,,,,,0.00,0.00,0.00,1.00,0.00,31.51,0.00,08/19/2015
DI,20152016,39,0060,000,CENTRAL VALLEY PUBLIC SCHOOLS,45988,15.89,9,0.2571,32.63,,,,,,0.00,0.00,0.00,1.00,0.00,31.63,0.00,11/16/2016
SC,20142015,39,0060,001,CENTRAL VALLEY HIGH SCHOOL,44668,14.06,4,0.2353,14.48,,,,,,0.00,0.00,0.00,0.25,0.00,14.23,0.00,08/19/2015
SC,20152016,39,0060,001,CENTRAL VALLEY HIGH SCHOOL,46691,14.44,5,0.2778,15.60,,,,,,0.00,0.00,0.00,0.25,0.00,15.35,0.00,11/16/2016
SC,20142015,39,0060,002,CENTRAL VALLEY ELEM - SCOTIA,44063,16.16,7,0.3684,17.03,,,,,,0.00,0.00,0.00,0.75,0.00,16.28,0.00,08/19/2015
SC,20152016,39,0060,002,CENTRAL VALLEY ELEM - SCOTIA,45579,17.00,6,0.3333,16.03,,,,,,0.00,0.00,0.00,0.75,0.00,15.28,0.00,11/16/2016
SC,20142015,39,0060,003,CENTRAL VALLEY PK - GREELEY,50080,12.00,0,0.0000,0.50,,,,,,0.00,0.00,0.00,0.00,0.00,0.50,0.00,08/19/2015
SC,20152016,39,0060,003,CENTRAL VALLEY PK - GREELEY,51680,13.00,0,0.0000,0.50,,,,,,0.00,0.00,0.00,0.00,0.00,0.50,0.00,11/16/2016
SC,20142015,39,0060,004,CENTRAL VALLEY PK - WOLBACH,50080,12.00,0,0.0000,0.50,,,,,,0.00,0.00,0.00,0.00,0.00,0.50,0.00,08/19/2015
SC,20152016,39,0060,004,CENTRAL VALLEY PK - WOLBACH,51680,13.00,0,0.0000,0.50,,,,,,0.00,0.00,0.00,0.00,0.00,0.50,0.00,11/16/2016
DI,20112012,39,0501,000,NORTH LOUP SCOTIA PUBLIC SCHS,42530,13.38,8,0.3333,21.41,,,,,,0.00,0.00,0.00,0.69,0.00,20.72,0.00,11/26/2012
DI,20122013,39,0501,000,NORTH LOUP SCOTIA PUBLIC SCHS,43162,13.91,8,0.3478,20.03,,,,,,0.00,0.00,0.00,0.69,0.00,19.34,0.00,07/05/2013
DI,20132014,39,0501,000,NORTH LOUP SCOTIA PUBLIC SCHS,44137,12.22,6,0.3333,11.37,,,,,,0.00,0.00,0.00,0.50,0.00,10.87,0.00,07/07/2014
SC,20112012,39,0501,001,HIGH SCHOOL AT SCOTIA,43978,12.87,3,0.2000,12.09,,,,,,0.00,0.00,0.00,0.57,0.00,11.52,0.00,11/26/2012
SC,20122013,39,0501,001,HIGH SCHOOL AT SCOTIA,41979,13.73,4,0.2667,10.73,,,,,,0.00,0.00,0.00,0.57,0.00,10.16,0.00,07/05/2013
SC,20132014,39,0501,001,HIGH SCHOOL AT SCOTIA,44408,12.50,2,0.2500,2.43,,,,,,0.00,0.00,0.00,0.25,0.00,2.18,0.00,07/07/2014
SC,20112012,39,0501,002,ELEM SCHOOL AT NORTH LOUP,44390,13.17,5,0.4167,9.32,,,,,,0.00,0.00,0.00,0.12,0.00,9.20,0.00,11/26/2012
SC,20122013,39,0501,002,ELEM SCHOOL AT NORTH LOUP,43659,12.18,6,0.3529,9.30,,,,,,0.00,0.00,0.00,0.12,0.00,9.18,0.00,07/05/2013
SC,20132014,39,0501,002,ELEM SCHOOL AT NORTH LOUP,42794,10.63,3,0.3750,6.25,,,,,,0.00,0.00,0.00,0.00,0.00,6.25,0.00,07/07/2014
SC,20132014,39,0501,003,NORTH LOUP SCOTIA MIDDLE SCHOOL AT SCOTIA,46278,14.56,3,0.3333,2.69,,,,,,0.00,0.00,0.00,0.25,0.00,2.44,0.00,07/07/2014
DI,20112012,40,0002,000,GRAND ISLAND PUBLIC SCHOOLS,55795,13.97,370,0.5987,609.63,,,,,,0.00,1.00,1.00,14.00,0.00,593.63,0.00,11/26/2012
DI,20122013,40,0002,000,GRAND ISLAND PUBLIC SCHOOLS,56070,14.02,373,0.6055,610.01,,,,,,0.00,2.00,1.00,15.00,0.00,592.01,0.00,07/05/2013
DI,20132014,40,0002,000,GRAND ISLAND PUBLIC SCHOOLS,56487,14.20,400,0.6221,636.38,,,,,,0.00,2.00,1.00,15.00,0.00,618.38,0.00,07/07/2014
DI,20142015,40,0002,000,GRAND ISLAND PUBLIC SCHOOLS,57037,13.83,405,0.6221,645.83,,,,,,0.00,2.00,1.00,17.00,0.00,625.83,0.00,08/19/2015
DI,20152016,40,0002,000,GRAND ISLAND PUBLIC SCHOOLS,57463,13.59,414,0.6170,666.17,,,,,,0.00,2.00,2.00,21.00,0.00,641.17,0.00,11/16/2016
SC,20112012,40,0002,001,GRAND ISLAND SENIOR HIGH SCH,57593,16.26,86,0.6719,125.65,,,,,,0.00,0.00,0.00,0.00,0.00,125.65,0.00,11/26/2012
SC,20122013,40,0002,001,GRAND ISLAND SENIOR HIGH SCHOOL,58905,17.48,89,0.6846,127.31,,,,,,0.00,0.00,0.00,0.00,0.00,127.31,0.00,07/05/2013
SC,20132014,40,0002,001,GRAND ISLAND SENIOR HIGH SCHOOL,58491,17.29,88,0.6718,128.83,,,,,,0.00,1.00,0.00,0.00,0.00,127.83,0.00,07/07/2014
SC,20142015,40,0002,001,GRAND ISLAND SENIOR HIGH SCHOOL,57610,16.05,83,0.6288,129.89,,,,,,0.00,1.00,0.00,1.00,0.00,127.89,0.00,08/19/2015
SC,20152016,40,0002,001,GRAND ISLAND SENIOR HIGH SCHOOL,58818,16.59,91,0.6642,134.87,,,,,,0.00,1.00,0.00,3.00,0.00,130.87,0.00,11/16/2016
SC,20112012,40,0002,002,BARR MIDDLE SCHOOL,58303,14.33,41,0.7069,52.41,,,,,,0.00,0.00,1.00,1.00,0.00,50.41,0.00,11/26/2012
SC,20122013,40,0002,002,BARR MIDDLE SCHOOL,58963,14.83,42,0.7241,53.14,,,,,,0.00,0.50,1.00,1.00,0.00,50.64,0.00,07/05/2013
SC,20132014,40,0002,002,BARR MIDDLE SCHOOL,60657,15.34,47,0.7705,56.25,,,,,,0.00,0.00,1.00,1.00,0.00,54.25,0.00,07/07/2014
SC,20142015,40,0002,002,BARR MIDDLE SCHOOL,61791,15.41,45,0.7627,54.73,,,,,,0.00,0.00,1.00,1.00,0.00,52.73,0.00,08/19/2015
SC,20152016,40,0002,002,BARR MIDDLE SCHOOL,61920,14.66,44,0.7213,55.57,,,,,,0.00,0.00,1.00,0.00,0.00,54.57,0.00,11/16/2016
SC,20112012,40,0002,003,NEWELL ELEMENTARY SCHOOL,50874,9.66,12,0.4138,28.00,,,,,,0.00,0.00,0.00,0.50,0.00,27.50,0.00,11/26/2012
SC,20122013,40,0002,003,NEWELL ELEMENTARY SCHOOL,52739,10.34,15,0.5172,28.25,,,,,,0.00,0.00,0.00,1.00,0.00,27.25,0.00,07/05/2013
SC,20132014,40,0002,003,NEWELL ELEMENTARY SCHOOL,53180,10.45,16,0.5161,29.75,,,,,,0.00,0.00,0.00,1.00,0.00,28.75,0.00,07/07/2014
SC,20142015,40,0002,003,NEWELL ELEMENTARY SCHOOL,54614,9.58,17,0.5484,29.75,,,,,,0.00,0.00,0.00,1.00,0.00,28.75,0.00,08/19/2015
SC,20152016,40,0002,003,NEWELL ELEMENTARY SCHOOL,55253,9.84,17,0.5484,30.25,,,,,,0.00,0.00,0.00,1.00,0.00,29.25,0.00,11/16/2016
SC,20112012,40,0002,004,WALNUT MIDDLE SCHOOL,58603,14.50,43,0.6935,57.16,,,,,,0.00,0.00,0.00,1.50,0.00,55.66,0.00,11/26/2012
SC,20122013,40,0002,004,WALNUT MIDDLE SCHOOL,58994,13.66,45,0.7258,57.18,,,,,,0.00,0.00,0.00,1.00,0.00,56.18,0.00,07/05/2013
SC,20132014,40,0002,004,WALNUT MIDDLE SCHOOL,58300,14.28,46,0.7188,59.74,,,,,,0.00,0.00,0.00,1.00,0.00,58.74,0.00,07/07/2014
SC,20142015,40,0002,004,WALNUT MIDDLE SCHOOL,57941,14.30,43,0.6719,59.75,,,,,,0.00,0.00,0.00,1.00,0.00,58.75,0.00,08/19/2015
SC,20152016,40,0002,004,WALNUT MIDDLE SCHOOL,57873,13.66,42,0.6563,60.05,,,,,,0.00,0.00,0.00,2.00,0.00,58.05,0.00,11/16/2016
SC,20112012,40,0002,005,GATES ELEMENTARY SCHOOL,53448,13.88,12,0.4800,24.50,,,,,,0.00,0.00,0.00,3.00,0.00,21.50,0.00,11/26/2012
SC,20122013,40,0002,005,GATES ELEMENTARY SCHOOL,51486,12.65,13,0.5000,25.50,,,,,,0.00,0.00,0.00,3.00,0.00,22.50,0.00,07/05/2013
SC,20132014,40,0002,005,GATES ELEMENTARY SCHOOL,52855,13.48,15,0.6000,25.00,,,,,,0.00,0.00,0.00,3.00,0.00,22.00,0.00,07/07/2014
SC,20142015,40,0002,005,GATES ELEMENTARY SCHOOL,54693,12.96,16,0.6154,25.50,,,,,,0.00,0.00,0.00,3.00,0.00,22.50,0.00,08/19/2015
SC,20152016,40,0002,005,GATES ELEMENTARY SCHOOL,52594,9.27,14,0.5385,25.78,,,,,,0.00,0.00,0.00,4.00,0.00,21.78,0.00,11/16/2016
SC,20112012,40,0002,006,DODGE ELEMENTARY SCHOOL,59641,17.17,26,0.7222,33.22,,,,,,0.00,0.00,0.00,0.00,0.00,33.22,0.00,11/26/2012
SC,20122013,40,0002,006,DODGE ELEMENTARY SCHOOL,59025,16.31,26,0.7222,33.41,,,,,,0.00,0.50,0.00,0.00,0.00,32.91,0.00,07/05/2013
SC,20132014,40,0002,006,DODGE ELEMENTARY SCHOOL,57621,15.19,26,0.7027,34.40,,,,,,0.00,0.00,0.00,0.00,0.00,34.40,0.00,07/07/2014
SC,20142015,40,0002,006,DODGE ELEMENTARY SCHOOL,58007,15.02,28,0.6829,36.28,,,,,,0.00,0.00,0.00,1.00,0.00,35.28,0.00,08/19/2015
SC,20152016,40,0002,006,DODGE ELEMENTARY SCHOOL,60763,15.91,32,0.7442,37.84,,,,,,0.00,0.00,1.00,1.00,0.00,35.84,0.00,11/16/2016
SC,20112012,40,0002,007,HOWARD ELEMENTARY SCHOOL,52669,12.38,17,0.5000,32.50,,,,,,0.00,1.00,0.00,3.00,0.00,28.50,0.00,11/26/2012
SC,20122013,40,0002,007,HOWARD ELEMENTARY SCHOOL,52340,12.13,15,0.4688,32.00,,,,,,0.00,1.00,0.00,3.00,0.00,28.00,0.00,07/05/2013
SC,20132014,40,0002,007,HOWARD ELEMENTARY SCHOOL,53452,11.74,18,0.5294,34.00,,,,,,0.00,1.00,0.00,3.00,0.00,30.00,0.00,07/07/2014
SC,20142015,40,0002,007,HOWARD ELEMENTARY SCHOOL,56314,13.38,19,0.5588,34.00,,,,,,0.00,1.00,0.00,3.00,0.00,30.00,0.00,08/19/2015
SC,20152016,40,0002,007,HOWARD ELEMENTARY SCHOOL,58176,14.00,20,0.5882,34.00,,,,,,0.00,1.00,0.00,3.00,0.00,30.00,0.00,11/16/2016
SC,20112012,40,0002,008,JEFFERSON ELEMENTARY SCHOOL,48482,9.63,9,0.3750,22.72,,,,,,0.00,0.00,0.00,0.00,0.00,22.72,0.00,11/26/2012
SC,20122013,40,0002,008,JEFFERSON ELEMENTARY SCHOOL,48294,9.88,9,0.3750,22.75,,,,,,0.00,0.00,0.00,0.00,0.00,22.75,0.00,07/05/2013
SC,20132014,40,0002,008,JEFFERSON ELEMENTARY SCHOOL,49561,10.72,13,0.5200,23.70,,,,,,0.00,0.00,0.00,0.00,0.00,23.70,0.00,07/07/2014
SC,20142015,40,0002,008,JEFFERSON ELEMENTARY SCHOOL,50116,9.00,12,0.5217,22.42,,,,,,0.00,0.00,0.00,0.00,0.00,22.42,0.00,08/19/2015
