Type,School Year,County,District,School,Agency Name,Average Teacher Salary,Average Years of Teaching Experience,Masters Count,Percentage of Teachers with Master’s Degrees,Teacher FTE,AM_5,AS_5,BL_5,HI_5,WH_5,AM_7,AS_7,BL_7,HI_7,PI_7,WH_7,MU_7,DataAsOf
SC,20152016,01,0090,001,ADAMS CENTRAL JR-SR HIGH SCH,57730,18.86,23,0.6571,34.40,,,,,,0.00,0.00,0.00,0.00,0.00,34.40,0.00,11/16/2016
SC,20112012,01,0090,002,JUNIATA ELEMENTARY SCHOOL,50304,22.08,4,0.3077,10.56,,,,,,0.00,0.00,0.00,0.00,0.00,10.56,0.00,11/26/2012
SC,20122013,01,0090,002,JUNIATA ELEMENTARY SCHOOL,48381,19.71,5,0.3571,10.40,,,,,,0.00,0.00,0.00,0.00,0.00,10.40,0.00,07/05/2013
SC,20132014,01,0090,002,JUNIATA ELEMENTARY SCHOOL,50303,19.87,6,0.4000,10.73,,,,,,0.00,0.00,0.00,0.00,0.00,10.73,0.00,07/07/2014
SC,20142015,01,0090,002,JUNIATA ELEMENTARY SCHOOL,51640,19.20,6,0.4000,10.73,,,,,,0.00,0.00,0.00,0.00,0.00,10.73,0.00,08/19/2015
SC,20152016,01,0090,002,JUNIATA ELEMENTARY SCHOOL,54131,18.27,7,0.4667,11.53,,,,,,0.00,0.00,0.00,0.00,0.00,11.53,0.00,11/16/2016
SC,20112012,01,0090,003,ADAMS COUNTY 15,47242,15.78,4,0.4444,6.33,,,,,,0.00,0.00,0.00,0.00,0.00,6.33,0.00,11/26/2012
SC,20122013,01,0090,003,ADAMS COUNTY 15,48318,19.00,3,0.2308,9.30,,,,,,0.00,0.00,0.00,0.00,0.00,9.30,0.00,07/05/2013
SC,20132014,01,0090,003,EAST ELEMENTARY SCHOOL,50116,19.00,4,0.2857,9.74,,,,,,0.00,0.00,0.00,0.00,0.00,9.74,0.00,07/07/2014
SC,20142015,01,0090,003,EAST ELEMENTARY SCHOOL,52512,19.00,4,0.3077,8.74,,,,,,0.00,0.00,0.00,0.00,0.00,8.74,0.00,08/19/2015
SC,20152016,01,0090,003,EAST ELEMENTARY SCHOOL,55076,20.54,6,0.4615,9.54,,,,,,0.00,0.00,0.00,0.00,0.00,9.54,0.00,11/16/2016
SC,20112012,01,0090,004,TRI-VIEW SCHOOL,50898,23.43,4,0.5714,3.68,,,,,,0.00,0.00,0.00,0.00,0.00,3.68,0.00,11/26/2012
SC,20112012,01,0090,005,AYR SCHOOL,47064,17.50,1,0.1250,4.20,,,,,,0.00,0.00,0.00,0.00,0.00,4.20,0.00,11/26/2012
SC,20112012,01,0090,006,WALLACE SCHOOL,48190,16.42,5,0.4167,9.31,,,,,,0.00,0.00,0.00,0.00,0.00,9.31,0.00,11/26/2012
SC,20122013,01,0090,006,WALLACE SCHOOL,49977,19.46,5,0.3846,9.60,,,,,,0.00,0.00,0.00,0.00,0.00,9.60,0.00,07/05/2013
SC,20132014,01,0090,006,WALLACE ELEMENTARY SCHOOL,52569,23.75,6,0.5000,8.50,,,,,,0.00,0.00,0.00,0.00,0.00,8.50,0.00,07/07/2014
SC,20142015,01,0090,006,WALLACE ELEMENTARY SCHOOL,54706,23.46,6,0.4615,9.50,,,,,,0.00,0.00,0.00,0.00,0.00,9.50,0.00,08/19/2015
SC,20152016,01,0090,006,WALLACE ELEMENTARY SCHOOL,54896,24.17,6,0.5000,8.86,,,,,,0.00,0.00,0.00,0.00,0.00,8.86,0.00,11/16/2016
DI,20112012,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,45020,18.04,12,0.4444,25.63,,,,,,0.00,0.00,0.00,0.00,0.00,25.63,0.00,11/26/2012
DI,20122013,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,45783,17.96,12,0.4800,24.38,,,,,,0.00,0.00,0.00,0.00,0.00,24.38,0.00,07/05/2013
DI,20132014,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,47071,17.08,12,0.4615,25.38,,,,,,0.00,0.00,0.00,0.00,0.00,25.38,0.00,07/07/2014
DI,20142015,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,47325,15.65,14,0.5385,24.88,,,,,,0.00,0.00,0.00,0.00,0.00,24.88,0.00,08/19/2015
DI,20152016,01,0123,000,SILVER LAKE PUBLIC SCHOOLS,46908,15.04,12,0.4800,24.38,,,,,,0.00,0.00,0.00,0.00,0.00,24.38,0.00,11/16/2016
SC,20112012,01,0123,001,SILVER LAKE HIGH SCHOOL,44231,18.69,8,0.5000,13.75,,,,,,0.00,0.00,0.00,0.00,0.00,13.75,0.00,11/26/2012
SC,20122013,01,0123,001,SILVER LAKE HIGH SCHOOL,43878,16.33,8,0.5333,12.75,,,,,,0.00,0.00,0.00,0.00,0.00,12.75,0.00,07/05/2013
SC,20132014,01,0123,001,SILVER LAKE HIGH SCHOOL,44998,15.25,8,0.5000,13.25,,,,,,0.00,0.00,0.00,0.00,0.00,13.25,0.00,07/07/2014
SC,20142015,01,0123,001,SILVER LAKE HIGH SCHOOL,43877,12.31,8,0.5000,12.75,,,,,,0.00,0.00,0.00,0.00,0.00,12.75,0.00,08/19/2015
SC,20152016,01,0123,001,SILVER LAKE HIGH SCHOOL,42900,10.40,6,0.4000,12.50,,,,,,0.00,0.00,0.00,0.00,0.00,12.50,0.00,11/16/2016
SC,20112012,01,0123,002,SILVER LAKE ELEM SCH-BLADEN,45481,16.46,5,0.3846,11.88,,,,,,0.00,0.00,0.00,0.00,0.00,11.88,0.00,11/26/2012
SC,20122013,01,0123,002,SILVER LAKE ELEM SCH-BLADEN,46302,17.08,5,0.3846,11.63,,,,,,0.00,0.00,0.00,0.00,0.00,11.63,0.00,07/05/2013
SC,20132014,01,0123,002,SILVER LAKE ELEM SCH-BLADEN,47129,15.71,5,0.3571,12.13,,,,,,0.00,0.00,0.00,0.00,0.00,12.13,0.00,07/07/2014
SC,20142015,01,0123,002,SILVER LAKE ELEM SCH-BLADEN,49550,16.71,8,0.5714,12.13,,,,,,0.00,0.00,0.00,0.00,0.00,12.13,0.00,08/19/2015
SC,20152016,01,0123,002,SILVER LAKE ELEM SCH-BLADEN,49771,17.36,8,0.5714,11.88,,,,,,0.00,0.00,0.00,0.00,0.00,11.88,0.00,11/16/2016
DI,20112012,02,0009,000,NELIGH-OAKDALE SCHOOLS,42631,15.97,14,0.3784,36.63,,,,,,0.00,0.00,0.00,0.00,0.00,36.63,0.00,11/26/2012
DI,20122013,02,0009,000,NELIGH-OAKDALE SCHOOLS,45595,16.97,13,0.3514,35.73,,,,,,0.00,0.00,0.00,0.00,0.00,35.73,0.00,07/05/2013
DI,20132014,02,0009,000,NELIGH-OAKDALE SCHOOLS,46256,15.51,12,0.3243,36.13,,,,,,0.00,0.00,0.00,0.00,0.00,36.13,0.00,07/07/2014
DI,20142015,02,0009,000,NELIGH-OAKDALE SCHOOLS,46728,14.73,17,0.4595,36.13,,,,,,0.00,0.00,0.00,0.00,0.00,36.13,0.00,08/19/2015
DI,20152016,02,0009,000,NELIGH-OAKDALE SCHOOLS,48938,15.62,19,0.5135,36.13,,,,,,0.00,0.00,0.00,0.00,0.00,36.13,0.00,11/16/2016
SC,20112012,02,0009,001,NELIGH-OAKDALE JR/SR HIGH SCH,43458,14.71,7,0.4118,15.88,,,,,,0.00,0.00,0.00,0.00,0.00,15.88,0.00,11/26/2012
SC,20122013,02,0009,001,NELIGH-OAKDALE JR/SR HIGH SCH,46783,16.24,7,0.4118,15.78,,,,,,0.00,0.00,0.00,0.00,0.00,15.78,0.00,07/05/2013
SC,20132014,02,0009,001,NELIGH-OAKDALE JR/SR HIGH SCH,47930,13.83,8,0.4444,16.38,,,,,,0.00,0.00,0.00,0.00,0.00,16.38,0.00,07/07/2014
SC,20142015,02,0009,001,NELIGH-OAKDALE JR/SR HIGH SCH,47474,11.39,11,0.6111,16.38,,,,,,0.00,0.00,0.00,0.00,0.00,16.38,0.00,08/19/2015
SC,20152016,02,0009,001,NELIGH-OAKDALE JR/SR HIGH SCH,49240,13.56,11,0.6111,16.38,,,,,,0.00,0.00,0.00,0.00,0.00,16.38,0.00,11/16/2016
SC,20112012,02,0009,002,ELEM SCHOOL AT NELIGH-OAKDALE,43273,17.39,10,0.4348,20.75,,,,,,0.00,0.00,0.00,0.00,0.00,20.75,0.00,11/26/2012
SC,20122013,02,0009,002,ELEM SCHOOL AT NELIGH-OAKDALE,46060,18.00,9,0.3913,19.95,,,,,,0.00,0.00,0.00,0.00,0.00,19.95,0.00,07/05/2013
SC,20132014,02,0009,002,ELEM SCHOOL AT NELIGH-OAKDALE,46459,17.73,7,0.3182,19.75,,,,,,0.00,0.00,0.00,0.00,0.00,19.75,0.00,07/07/2014
